Code,Parents,Synonyms,Definition,Display Name,Semantic Type,Concept in Subset
C29726,C307,Enzyme Replacement or Supplement Agent|Enzyme Replacement Agent,Synthetic enzyme or mixture of enzymes used to replace or supplement enzymes to treat enzyme deficiency or to promote healthy body functions.,,Chemical Viewed Functionally,
C307,C1909,"Biological Agent|BIOLOGIC|Biologic|Biologic|Biologic|Biological Drug|Biological Products|Biologicals|Biologicals|Biologics|Biopharmaceuticals|Biopharmaceuticals|Immunologic, Immunochemical|Immunologics|biologic agent|biological agent|biological drug|biological product","Biotechnology-derived pharmaceutical agents made from living organisms or their products. Includes recombinant proteins, monoclonal antibodies, and nucleic acids.",,Classification,BRIDG Class Terminology|BRIDG Terminology|CDISC Glossary Terminology|CDISC Protocol Terminology|CDISC SDTM Intervention Type Terminology|CDISC SDTM Terminology|Clinical Data Interchange Standards Consortium Terminology|NICHD Terminology|Pediatric Rheumatology Terminology
C308,C1909,Immunotherapeutic Agent|BRM|Biological Response Modifier|Biomodulators|Immune Mediators|Immune Modulators|Immune Regulators|Immunomodulating Agent|Immunomodulators|Immunomodulatory Agent|Immunopotentiators|Immunotherapeutic Drug|Immunotherapy|Immunotherapy Agent,"Any substance that induces, enhances, restores or suppresses the host's immune system, or an agent that utilizes or is derived from a component of the immune system.",Immunotherapeutic Agent,Chemical Viewed Functionally,CTRP Agent Terminology|CTRP Terminology|Operational Ontology for Radiation Oncology Prostate Cancer Terminology
C360,C1932,Chelating Agent|Chelating agent|Chelators|Metal Chelant|Metal Chelating Agent|Metal Chelator|chelating agent,"An inorganic or organic molecule which binds metal ions. Metal chelators are frequently polydentate, indicating that they form multiple bonds with the metal ion, resulting in more stable coordination complexes.",,Chemical Viewed Functionally,PQ/CMC Excipient Function Terminology
C38140,C390,Ferumoxtran-10|Combidex|USPIO|Ultrasmall Particulate Iron Oxide|ferumoxtran-10,"A synthetic ultrasmall superparamagnetic iron oxide composed of dextran-coated iron oxide nanoparticles (also known as 'ultrasmall particulate iron oxides' or USPIO). Ferumoxtran-10, which accumulates in non-cancerous lymphatic tissue, is used as a molecular resonance imaging (MRI) contrast agent. (NCI04)",Ferumoxtran-10,"Indicator, Reagent, or Diagnostic Aid",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C390,C1966,Contrast Agent|Contrast|Contrast Drugs|Contrast Medium|contrast material,Substances administered during imaging procedures that allows delineation of internal structures. Contrast agents appear opaque due to the difference in absorption of X-rays or other electromagnetic waves and surrounding tissue.,Contrast Agent,"Indicator, Reagent, or Diagnostic Aid",CTRP Agent Terminology|CTRP Terminology|Newborn Screening Terminology|NICHD Terminology
C39438,C19729,Jonsson Comprehensive Cancer Center|JCCC|Jonsson Comprehensive Cancer Center of University of California Los Angeles|The UCLA's Jonsson Comprehensive Cancer Center,"The Jonsson Comprehensive Cancer Center conducts basic, clinical, and cancer prevention research, while providing the latest treatments to patients, while training the next generation of medical researchers. The Center is developing new technologies for early detection and classification of cancers, combining nanotechnology, systems biology, and molecular imaging. It is affiliated with University of California, Los Angeles and was designated as an NCI comprehensive cancer center in 1974.",,Health Care Related Organization,
C43359,C20181,Group|Panel,Any number of entities (members) considered as a unit.,,Group,
C43431,,Activity|General activity,An active process; excludes processes and mechanisms which fulfill biological functions.,,Activity,BRIDG Class Terminology|BRIDG Terminology|MD Anderson Symptom Inventory - Head and Neck
C45678,C1908,Industrial Aid|Industrial Additive,"Natural or synthetic substances that are used in various industries or in laboratories for a broad range of applications. This group includes, but is not limited to, pharmaceutical excipients, research/diagnostic agents, agricultural agents, and other non-edible products that may have human health implication.",,Chemical Viewed Functionally,
C471,C1909,Enzyme Inhibitor|Enzyme Antagonist|Enzyme Inhibitor Agent|Enzyme Inhibitor Drug,A pharmacological agent that inhibits the catalytic activity of an enzyme.,,Chemical Viewed Functionally,
C48203,C1708,Nanoparticle-targeted Drug,A complex consisting of a therapeutic entity coupled to a nanoparticle entity that has an external coating designed to deliver the therapeutic to a precise location in the body.  This complex is useful because of the ability to deliver drugs in a controlled fashion to a specific site of interest. Conjugates such as this are also utilized as imaging and contrast agents for MRI and other imaging studies.,,Conceptual Entity,
C48415,C61078,Paclitaxel-Loaded Polymeric Micelle|Cynviloq TM|Genexol PM|IG-001|paclitaxel-loaded polymeric micelle,"A biodegradable poly(ethylene glycol)-poly(D,L-lactide) copolymer micelle nanoparticle-entrapped formulation of paclitaxel with antineoplastic activity. Paclitaxel promotes microtubule assembly and prevents depolymerization, thus interfering with normal mitosis. The copolymer residue increases the water-solubility of paclitaxel and allows delivery of higher doses than those achievable with paclitaxel alone.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C48803,C1913,Polymer|POLYMER SUBSTANCE|Polymeric|Polymeric Macromolecules|Polymers|polymer,A substance made up of variable numbers of repeating structural units linked through covalent bonds.,,Chemical Viewed Structurally,FDA Structured Product Labeling Terminology|PQ/CMC Substance Classification Terminology|SPL Substance Indexing Terminology
C49178,C61199|C1962|C129820,PEG-PEI-cholesterol Lipopolymer-encased IL-12 DNA Plasmid Vector IMNN-001|GEN 1|GEN-1|GEN1|IL-12 Plasmid Formulated With PEG-PEI-Cholesterol Lipopolymer|IMNN 001|IMNN-001|IMNN001|Nanoparticle-encased IL-12 DNA Plasmid Vector|phIL-12-005,"A nanoparticle-based formulation composed of a non-viral plasmid DNA vector encoding the human pro-inflammatory cytokine interleukin-12 (IL-12) encapsulated in a biodegradable, biocompatible lipoplex composed of polyethylene glycol (PEG), polyethylenimine (PEI), and cholesterol, with potential immunoactivating and antineoplastic activities. Upon intraperitoneal (IP) delivery of the PEG-PEI-cholesterol lipopolymer-encased IL-12 DNA plasmid vector IMNN-001, the lipoplex is endocytosed by nearby cells, and the plasmid DNA is transported into the nucleus, which leads to local expresssion of IL-12. In turn, the increased IL-12 production at the tumor site activates the immune system by promoting the activation of natural killer cells (NKs), inducing secretion of interferon-gamma (IFN-g) and promoting cytotoxic T-cell responses against tumor cells.",PEG-PEI-cholesterol Lipopolymer-encased IL-12 DNA Plasmid Vector IMNN-001,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C49236,C25218,Therapeutic Procedure|TREAT|TX|Therapeutic|Therapeutic Interventions|Therapeutic Method|Therapeutic Technique|Therapy|Treatment|Treatment|any therapy|any_therapy|therapy|therapy|treatment|treatment or therapy|treatment_or_therapy,"Medical care intended to treat or cure a condition or lessen its symptoms. This includes the administration of drugs, surgical procedures, physical or psychotherapy, or the use of therapeutic devices.",Therapeutic Procedure,Therapeutic or Preventive Procedure,Breast Cancer Treatment Outcomes Scale-Cosmetic Status|Canine Glioma Project Property Terminology|CDISC Glossary Terminology|Clinical Data Interchange Standards Consortium Terminology|CTRP Intervention Terminology|CTRP Terminology|GDC Property Terminology|GDC Terminology|ICDC Property Terminology|ICDC Terminology|Newborn Screening Terminology|NICHD Terminology|Operational Ontology for Radiation Oncology Prostate Cancer Terminology
C574,C308,Immunosuppressant|Immunosuppressive Agents|immunosuppressant|immunosuppressive|immunosuppressive treatment type|immunosuppressive_treatment_type,,,Chemical Viewed Functionally,GDC Property Terminology|GDC Terminology
C587,C593,Recombinant Interleukin-2|HUMAN INTERLEUKIN-2|IL-2|IL-2|Interleukin II|Interleukin-2|Lymphocyte Mitogenic Factor|Mitogenic Factor|Recombinant interleukin-2|Ro-236019|T-Cell Growth Factor|TCGF|TSF|Thymocyte Stimulating Factor|interleukin-2,"Any recombinant analog of endogenous interleukin-2 (IL-2), a cytokine involved in intercellular communication related to cell differentiation, proliferation, inflammation, hematopoiesis, neuronal functions, and release of hormones. IL-2 binds to and activates specific receptors, triggering expression of specific genes, and may induce T cell-mediated tumor regression in some tumor types.",Recombinant Interleukin-2,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology
C592,C593,Recombinant Interleukin-7|CYT 99 007|IL-7|Lymphopoietin-1|Recombinant Human Interleukin-7,"A recombinant protein which is chemically identical to or similar to endogenous interleukin-7 (IL-7) with hematopoietic and immunopotentiating properties. Produced by bone marrow, thymic stromal, and spleen cells, the cytokine interleukin-7 is a hematopoietic growth factor for progenitor B cells and T cells and stimulates proliferation and differentiation of mature T-cells and Natural Killer cells. (NCI05)",Recombinant Interleukin-7,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C593,C1283,Recombinant Interleukin|Interleukins,"Formulated therapeutic analogs of one of a number of endogenous cytokine interleukins.  Produced by T cells, macrophages, and other cells, interleukins bind to a specific surface receptor on immunohematopoietic cells, thereby inducing a multitude of biologic effects including stimulation of growth, differentiation, and proliferation of lymphocytes and eosinophils; activation of lymphocytes and macrophages; enhancement of mast cell activity; activation of the acute phase response; and stimulation of hematopoiesis.  Some interleukins may enhance the host's immune response to malignant cells by stimulating lymphokine-activated killer (LAK) cells and tumor-infiltrating lymphocytes (TIL), which are capable of lysing some tumor cells. (NCI04)",,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",
C61074,C1404,Serine/Threonine Kinase Inhibitor,"Any substance that inhibits serine/threonine protein kinase, an enzyme that phosphorylates the hydroxyl group of serine or threonine on various proteins in various signaling cascades. Inhibition of serine/threonine protein kinase can inhibit cell proliferation and induce apoptosis.",,Chemical Viewed Functionally,
C61078,C67437,Paclitaxel Preparation,"Any formulation containing paclitaxel, an antimitotic taxane.",,Chemical Viewed Functionally,
C62308,C1913,Nanoparticle|nanoparticle,"A small, stable particle whose size is measured in nanometers. These particles are used in various biomedical applications in which they can be utilized as drug carriers or imaging agents. Various targeting agents, such as antibodies, drugs, imaging agents, and reporters can be attached to the surface of a nanoparticle.",,Physical Object,
C62309,C20368,Nanoparticle Application,"The utilization of small (<100 nm), stable particles in a variety of technologies. Based on an understanding of chemical, biological and physical phenomena at the nanoscale level, processes are employed to create new nanoparticle technologies.",,Activity,
C62310,C62309,Clinical Nanoparticle Application,The use of nanoparticles for therapeutic applications in a clinical setting.,,Activity,
C62311,C62310,Nanoparticle-Mediated Drug Delivery|Nano Drug Delivery|Nanoparticle Mediated Drug Delivery,This method entails the attachment of a drug to the surface of nanoparticles. The role of the nanoparticle is to facilitate delivery of the drug to a cellular target that it would not reach in its free form.,,Activity,
C62312,C62364,Nanocontainer,Nanoscale hollow polymeric vessels that have the potential to be utilized to selectively deliver hydrophobic drugs to specific sites within individual cells.,,Manufactured Object,
C62358,C390|C360,Gadolinium-Chelate|Gadolinium Coordination Complex|Gadolinium-Chelant Complex|Gadolinium-based Contrast Agent,A coordination complex consisting of a gadolinium ion bound to a hexadentate organic chelating agent such as diethylenetriaminepentaacetic acid. Chelates of gadolinium are frequently utilized as magnetic resonance imaging (MRI) contrast agents and can be used to track nanoparticle-mediated drug delivery.,Gadolinium-Chelate,"Indicator, Reagent, or Diagnostic Aid",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C62364,C1913,Nanoparticle Complex,A nanoparticle bound to another moiety of interest via a chemical or physical interaction.,Nanoparticle Complex,Classification,CTRP Agent Terminology|CTRP Terminology
C62366,C62364,Nanodevice|Nano-device,A functional macromolecule composed of nanoscale components.,,Classification,
C62367,C62366,Nanobomb,"An explosive device comprised of carbon nanotubes. These nanoscale devices have desirable optical and thermal properties that can be exploited for novel cancer therapeutics. The ability to manipulate these properties facilitates a controlled, localized activation and clearance mechanism of diseased or abnormal cells.",,Classification,
C62375,C62364,Nanoshell,"A nanoparticle composed of a metallic shell surrounding a semiconductor. When nanoshells reach a target cancer cell, they can be irradiated with near-infrared light or excited with a magnetic field; either of these exposures will cause the nanoshell to become hot, thereby killing the cancer cell. The metal spheres can absorb or scatter light at several wavelengths, making them well-suited for several clinical applications.",,Classification,
C62379,C62308,Nanoparticle Type|Kind of nanoparticle,The classification of discrete nanoparticle entities.,,Classification,
C62384,C48803,Liposome Vesicle|LV|MLV|Multilamellar Liposome Vesicles|SUV|Small Unilamellar Vesicles,A microscopic vesicle consisting of one or more phospholipid layers surrounding an aqueous core. Liposomes can be utilized to facilitate the delivery of nanoparticles with attached therapeutic agents to biological targets such as specific cells or organs.,,Chemical Viewed Structurally,
C62388,C62379,Nanosphere,"Self-assembling durable silica spheres that fit inside each other. These spheres range in size from 2 to 50 nanometers and form within seconds. They are small enough to be introduced into the body and have uniform pores that facilitate the controlled release of drugs. The spheres also have the capability to absorb both organic and inorganic substances. For example, nanoparticles can absorb small particles of iron, thereby allowing magnetic control. Thus, the contents of nanospheres can be released upon activation.",,Classification,
C62538,C1941,Colloidal Gold-Bound Tumor Necrosis Factor|Aurimmune|Aurimmune|CYT-6091|Colloidal Gold-Bound Recombinant Human Tumor Necrosis Factor|TNF-bound colloidal gold|TNF-bound colloidal gold|colloidal gold-bound TNF|colloidal gold-bound rhTNF|colloidal gold-bound tumor necrosis factor,"A nanoparticle delivery system for recombinant human tumor necrosis factor (TNF) consisting of recombinant TNF bound to pegylated colloidal gold nanoparticles with potential antineoplastic activity. Upon intravenous administration, colloidal gold-bound recombinant human TNF travels through the bloodstream, avoiding immune detection and uptake by the reticuloendothelial system because of nanoparticle pegylation. Due to their size, the colloidal gold nanoparticles exit the circulatory system only at hyperpermeable tumor neovasculature sites; TNF then binds to and activates tumor cell TNF receptors, which may result in an increase in tumor cell apoptosis and a reduction in tumor cell proliferation. Compared to the administration of unbound TNF, colloidal gold-bound TNF may improve the efficacy and safety of TNF administration by delivering TNF specifically to tumor tissue.",,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C62597,C1752|C1663,CHP-HER-2 Peptide Vaccine|Cholesterol-Bearing Hydrophobized Pullulan HER2 Protein 146,"A peptide vaccine, containing nanoparticles of cholesteryl hydrophobized pullulan (CHP) complexed with the tumor-associated antigen HER-2/neu (ErbB-2), with potential antineoplastic activity. Her-2/neu, a member of the epidermal growth factor receptor (EGFR) family of tyrosine kinases, is overexpressed in various tumors, including breast, ovarian, and gastric cancers. Vaccination with CHP-HER-2 peptide vaccine may stimulate the host immune system to mount a humoral as well as a cytotoxic T-cell response against tumor cells expressing the HER-2/neu antigen. This results in an inhibition of tumor cell proliferation and tumor cell death. The self-aggregating CHP, composed of a pullulan backbone and cholesterol branches, forms stable colloidal nanoparticles in water.",,Immunologic Factor|Pharmacologic Substance,NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C62598,C1663,CHP-NY-ESO-1 Peptide Vaccine IMF-001|Cholesteryl Pullulan-NY-ESO-1 Vaccine IMF-001|IMF-001,"A peptide cancer vaccine containing nanoparticles of cholesteryl hydrophobized pullulan (CHP) complexed with the cancer-testis antigen NY-ESO-1 protein, with potential immunostimulating and antineoplastic activities.  Upon administration, CHP-NY-ESO-1 peptide vaccine IMF-001 may stimulate the host immune system to mount a humoral and cytotoxic T-cell response against tumor cells expressing NY-ESO-1 antigen, resulting in tumor cell lysis. The self-aggregating CHP, composed of a pullulan backbone and cholesterol branches, forms stable colloidal nanoparticles in water. NY-ESO-1, an antigen found in normal testis, is upregulated in various cancers, including bladder, breast, hepatocellular, melanoma, and prostate cancers.",CHP-NY-ESO-1 Peptide Vaccine IMF-001,Immunologic Factor|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C62634,C12218,Chemo/immuno/hormone Therapy Regimen,Any regimen that can be used for the treatment of cancer and non-neoplastic disease.,,Therapeutic or Preventive Procedure,
C63358,C62634,Regimen Used to Treat Breast Carcinoma,Any regimen that can be used for the treatment of breast cancer.,,Therapeutic or Preventive Procedure,
C63360,C62634,Regimen Used to Treat Non-Small Cell Lung Carcinoma|Chemo(immuno)therapy Regimen Used to Treat NSCLC|Chemotherapy Regimen Used to Treat Non-Small Cell Lung Cancer,Any regimen that can be used for the treatment of non-small cell lung carcinoma (NSCLC).,,Therapeutic or Preventive Procedure,
C66943,C932|C67422,Vinorelbine Tartrate Emulsion|ANX-530|Vinorelbine Tartrate Injectable Emulsion,"An emulsion containing the tartrate salt of the semisynthetic vinca alkaloid vinorelbine with antineoplastic activity. Vinorelbine binds to tubulin, inhibiting tubulin polymerization into microtubules; cell division is prevented, the cell cycle is arrested metaphase and cell death ensues. In this formulation vinorelbine is emulsified in a homogeneous suspension of nanoparticles, which protects the venous endothelium from coming into direct contact with the active ingredient, potentially reducing vinorelbine-associated venous toxicity at the venous injection site.",Vinorelbine Tartrate Emulsion,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C67422,C25974,Vinca-Domain Binding Agent|Vinca-Domain Binding Agents|Vinca-Site Binding Agent|Vinca-Site Binding Agents,"Any of a class of anti-mitotic compounds that bind to the vinca site of the beta tubulin subunit, a region located within the middle domain of the tubulin structure and corresponding with a residue sequence approximating 177-215. The agent binds to the vinca site to produce a conformational change in the protofilament structure and at high concentrations, to induce the formation of spirals and crystal aggregates; these changes impair the polymerization of tubulin dimers and thereby, prevent the assembly of microtubules. The subsequent decrease in the amount of formed microtubules causes disassembly of the mitotic spindle resulting from instability of the structure during the mitotic interphase, eventually leading to cell cycle arrest and/or apoptosis. Vinca-site binding agents include natural compounds isolated from the periwinkle (Catharanthus roseus, formally, Vinca roseus) plant and synthetic compounds.",,Chemical Viewed Functionally,
C67437,C25974,Taxane-Pocket Binding Agent|Taxane-Site Binding Agent,"Any of a class of anti-mitotic compounds that bind to the taxane site of the beta-tubulin subunit, a region described as a binding pocket located within the middle domain and corresponding to an approximate residue sequence of 217-231. Specifically, these agents bind to a cysteine residue within the pocket, which is also the binding site for GTP. Agents binding at the taxane site promote the polymerization of dimers to form a very rigid and stable microtubule structure which is not readily disassembled. By interfering with microtubule dynamics these agents inhibit the normal turnover process essential during mitosis, thereby causing cell-cycle arrest and/or apoptosis.",,Chemical Viewed Functionally,
C67502,C1594,Doxorubicin Preparation,A compound drug containing doxorubicin as an active ingredient.,,Pharmacologic Substance,
C68566,C62379,SPIO Nanoparticle|Amino Dextran-Coated Iron Oxide Particle|SPIO,Nanoparticles that have been functionalized with chemical amine groups and dextran. These particles have been utilized as magnetic resonance imaging agents and as probes to investivate thrombosis and tumor vasculature in conjunction with a CREKA peptide (cys-arg-glu-lys-ala).,,Physical Object,
C697,C2114,Nitrogen Mustard Compound,A mustard agent containing nitrogen and chlorine atoms.,,Classification,
C71696,C67437|C1742,Nanoparticle Albumin-Bound Docetaxel|ABI-008|CPO 100|CPO-100|CPO100|DTX-HSA|Docetaxel Albumin-bound|Nab-Docetaxel,"A nanoparticle albumin-bound formulation of the taxane docetaxel with antineoplastic activity. Docetaxel is a semi-synthetic, second-generation taxane derived from a compound found in the European yew tree Taxus baccata. Docetaxel binds to and stabilizes tubulin, thereby inhibiting microtubule disassembly which results in cell-cycle arrest at the G2/M phase and cell death. This agent also inhibits pro-angiogenic factors such as vascular endothelial growth factor (VEGF) and displays immunomodulatory and pro-inflammatory properties by inducing various mediators of the inflammatory response. This nanoparticle albumin-bound formulation solubilizes docetaxel without the use of the nonionic solubilizer Cremophor ELP, permitting the administration of larger doses of docetaxel while avoiding Cremophor ELP-associated toxicity.",Nanoparticle Albumin-Bound Docetaxel,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C718,C1913,Organic Chemical,"Molecule that contains atoms of the element carbon, usually combined with itself and with atoms of one or more other element such as hydrogen, oxygen, nitrogen, sulfur, phosphorus, chlorine, or fluorine. Excludes carbides, carbonates and carbon oxides.",,Classification|Organic Chemical,
C74065,C2201|C1742,Sirolimus Albumin-bound Nanoparticles|ABI 009|ABI-009|ABI009|Albumin-bound Sirolimus|Fyarro|Nab-Rapamycin|Nab-sirolimus|Nanoparticle Albumin-Bound Rapamycin|Nanoparticle Albumin-bound Sirolimus|Sirolimus Albumin-bound Particles|Sirolimus Protein-bound Particles|Sirolimus protein-bound particles,"The macrolide antibiotic rapamycin bound to nanoparticle albumin with immunosuppressant (see sirolimus) and potential antiangiogenic and antineoplastic activities. Rapamycin binds to the immunophilin FK Binding Protein-12 (FKBP-12) to generate a complex that binds to and inhibits the activation of the mammalian Target Of Rapamycin (mTOR), a key regulatory kinase. In turn, inhibition of mTOR may result in the inhibition of the phosphatidylinositol 3 (PI-3) kinase/Akt pathway and vascular endothelial cell growth factor (VEGF) secretion, which may result in decreased tumor cell proliferation and tumor angiogenesis. The binding of water-insoluble rapamycin to nanoparticle albumin permits the albumin-mediated endocytosis of rapamycin by tumor cells and endothelial cells.",Sirolimus Albumin-bound Nanoparticles,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|HemOnc Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C74526,C129824,Heat Shock Protein Inhibitor|Hsp Inhibitor,"Any agent that inhibits functions of heat shock proteins (Hsp). Hsps are a group of homodimeric molecular chaperones that interact with a diverse group of proteins, assisting in their folding and in the elimination of any misfolded or damaged molecules. Although transiently expressed during cell cycle in normal cells, Hsps are constitutively elevated in various types of cancer which raises the apoptosis threshold of these tumor cells and provides protection against cytotoxic agents. Hsp inhibitors may destabilize, and facilitate degradation of proto-oncoproteins leading to reversal of apoptosis regulation and cell death.",Heat Shock Protein Inhibitor,Chemical Viewed Functionally,CTRP Agent Terminology|CTRP Terminology
C78272,C1909,Agent Affecting Nervous System,"An agent that exerts a physiologic effect on neurotransmission or on any anatomic entity that is part of the nervous system, including the central nervous system (CNS) and peripheral nervous system (PNS).",,Chemical Viewed Functionally,
C78450,C201688,Transferrin Receptor-Targeted Anti-RRM2 siRNA CALAA-01|CALAA-01,"A proprietary transferrin receptor-targeted nanoparticle preparation of a non-chemically modified small-interfering RNA (siRNA) directed against the M2 subunit of ribonucleotide reductase (RRM2) with potential antineoplastic activity. Upon administration, transferrin receptor-targeted anti-RRM2 siRNA CALAA-01 binds to transferrin receptors (TfRs), releasing anti-RRM2 siRNA after endocytosis; anti-RRM2 siRNA silences the expression of RRM2 via the RNAi pathway, impeding the assembly of the holoenzyme ribonucleotide reductase (RR) which catalyzes the production of deoxyribonucleotides. As a result, inhibition of cellular proliferation may occur in cells expressing TfR, a cell surface protein overexpressed on various cancer cell types.",Transferrin Receptor-Targeted Anti-RRM2 siRNA CALAA-01,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C798,C274,Radiosensitizing Agent|Radiation Sensitizers|Radiation-Sensitizing Agents|Radiation-Sensitizing Drugs|Radiosensitizers|Radiosensitizing Drugs|radiosensitizer,An agent that makes tumor cells more sensitive to radiation therapy.,,Chemical Viewed Functionally,GDC Terminology|GDC Value Terminology
C802,C45678,Reagent|reagent,"Any natural or synthetic substance used in a chemical or biological reaction in order to produce, identify, or measure another substance.",,"Indicator, Reagent, or Diagnostic Aid",
C804,C1934|C129820,Retinoic Acid Agent|Retinoic Acid and Derivatives|Retinoic Acids|Retinoid|Retinoids|retinoid,"A group of agents that includes retinol (Vitamin A) and related compounds with potential antineoplastic and/or chemopreventive activities.  A retinoic acid agent binds to and/or activates specific nuclear retinoic acid receptors (RARs) and retinoid X receptors (RXRs), thereby modulating transcription of genes responsible for cell differentiation and proliferation.  A retinoic acid agent may exhibit immunomodulatory and anti-inflammatory properties and may inhibit ornithine decarboxylase, resulting in a decrease in polyamine synthesis and keratinization. (NCI04)",,Classification,
C82391,C1742|C129821,Anti-KSP/Anti-VEGF siRNAs ALN-VSP02|ALN-VSP02,"A lipid nanoparticle formulation containing two small interfering RNAs (siRNAs) for kinesin spindle protein (KSP) and vascular endothelial growth factor (VEGF) with potential antitumor activity. Upon intravenous administration, the siRNAs in KSP/VEGF siRNAs ALN-VSP02ALN bind to both KSP and VEGF messenger RNAs (mRNAs), preventing translation of KSP and VEGF proteins; this may result in growth inhibition of tumor cells that overexpress KSP and VEGF. VEGF and KSP are upregulated in many tumor cells and play an important role in tumor proliferation and survival.",Anti-KSP/Anti-VEGF siRNAs ALN-VSP02,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C82676,C2843,Irinotecan Sucrosofate|IRINOTECAN SUCROSOFATE|Irinotecan Liposome|Irinotecan Sucrosofate Liposome|Irinotecan Sucrosofate-containing Pegylated Liposomal Formulation|Irinotecan liposome|MM 398|MM-398|MM398|Nanoliposomal Irinotecan|Nanoliposomal Irinotecan as Sucrosofate|Nanoparticle Liposome Formulation of Irinotecan|Onivyde|PEP 02|PEP-02|PEP02|inotecan Hydrochloride as Sucrosulfate Salt Form Liposomal Formulation|nal-IRI,"A liposomal dispersion formulated with the semisynthetic camptothecin analogue irinotecan, provided as the hydrochloride trihydrate form, which is encapsulated and entrapped within liposomes in a gelated or precipitated state as the irinotecan sucrose octasulfate (sucrosulfate) salt form, with potential antineoplastic activity. Upon administration of the liposomes containing irinotecan sucrosulfate, irinotecan, a prodrug, is converted to a biologically active metabolite 7-ethyl-10-hydroxy-camptothecin (SN-38) by a carboxylesterase-converting enzyme. During the S-phase, SN-38 inhibits topoisomerase I activity by stabilizing the cleavable complex between topoisomerase I and DNA, inhibiting religation of topoisomerase I-mediated single-strand DNA breaks and producing lethal double-strand DNA breaks when complexes are encountered by the DNA replication machinery. Liposome encapsulation of this agent promotes efficient drug delivery into the cytosol from the endosome compartment of the cell, extends the circulation of irinotecan, and prolongs the duration of active therapy at the site of tumor to inhibit tumor growth.",Irinotecan Sucrosofate,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|HemOnc Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C82691,C156880,Hsp90 Inhibitor AB-010|AB-010|Heat Shock Protein 90 Inhibitor AB-010,"An orally bioavailable nanoparticle albumin-bound inhibitor of heat shock protein 90 (Hsp90) with potential antineoplastic activity. Hsp90 inhibitor AB-010 selectively binds to Hsp90, inhibiting its chaperone function and promoting the degradation of oncogenic signaling proteins involved in tumor cell proliferation and survival. This agent may inhibit the growth of a wide variety of cancer cell types; the incorporation of albumin into its formulation may facilitate its endothelial transcytosis through the gp60-regulated albumin transport pathway. Hsp90, a chaperone protein upregulated in a variety of tumor cells, regulates the folding and degradation of many oncogenic signaling proteins.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
